hex_string,utf8_string,emoji_desc
1F90F 1F3FC,\u00f0\u009f\u00a4\u008f\u00f0\u009f\u008f\u00bc,pinching hand: medium-light skin tone
1F90F 1F3FD,\u00f0\u009f\u00a4\u008f\u00f0\u009f\u008f\u00bd,pinching hand: medium skin tone
1F90F 1F3FE,\u00f0\u009f\u00a4\u008f\u00f0\u009f\u008f\u00be,pinching hand: medium-dark skin tone
1F90F 1F3FF,\u00f0\u009f\u00a4\u008f\u00f0\u009f\u008f\u00bf,pinching hand: dark skin tone
270C FE0F,\u00e2\u009c\u008c\u00ef\u00b8\u008f,victory hand
270C,\u00e2\u009c\u008c,victory hand
270C 1F3FB,\u00e2\u009c\u008c\u00f0\u009f\u008f\u00bb,victory hand: light skin tone
270C 1F3FC,\u00e2\u009c\u008c\u00f0\u009f\u008f\u00bc,victory hand: medium-light skin tone
270C 1F3FD,\u00e2\u009c\u008c\u00f0\u009f\u008f\u00bd,victory hand: medium skin tone
270C 1F3FE,\u00e2\u009c\u008c\u00f0\u009f\u008f\u00be,victory hand: medium-dark skin tone
270C 1F3FF,\u00e2\u009c\u008c\u00f0\u009f\u008f\u00bf,victory hand: dark skin tone
1F91E,\u00f0\u009f\u00a4\u009e,crossed fingers
1F91E 1F3FB,\u00f0\u009f\u00a4\u009e\u00f0\u009f\u008f\u00bb,crossed fingers: light skin tone
1F91E 1F3FC,\u00f0\u009f\u00a4\u009e\u00f0\u009f\u008f\u00bc,crossed fingers: medium-light skin tone
1F91E 1F3FD,\u00f0\u009f\u00a4\u009e\u00f0\u009f\u008f\u00bd,crossed fingers: medium skin tone
1F91E 1F3FE,\u00f0\u009f\u00a4\u009e\u00f0\u009f\u008f\u00be,crossed fingers: medium-dark skin tone
1F91E 1F3FF,\u00f0\u009f\u00a4\u009e\u00f0\u009f\u008f\u00bf,crossed fingers: dark skin tone
1F91F,\u00f0\u009f\u00a4\u009f,love-you gesture
1F91F 1F3FB,\u00f0\u009f\u00a4\u009f\u00f0\u009f\u008f\u00bb,love-you gesture: light skin tone
1F91F 1F3FC,\u00f0\u009f\u00a4\u009f\u00f0\u009f\u008f\u00bc,love-you gesture: medium-light skin tone
1F91F 1F3FD,\u00f0\u009f\u00a4\u009f\u00f0\u009f\u008f\u00bd,love-you gesture: medium skin tone
1F91F 1F3FE,\u00f0\u009f\u00a4\u009f\u00f0\u009f\u008f\u00be,love-you gesture: medium-dark skin tone
1F91F 1F3FF,\u00f0\u009f\u00a4\u009f\u00f0\u009f\u008f\u00bf,love-you gesture: dark skin tone
1F918,\u00f0\u009f\u00a4\u0098,sign of the horns
1F918 1F3FB,\u00f0\u009f\u00a4\u0098\u00f0\u009f\u008f\u00bb,sign of the horns: light skin tone
1F918 1F3FC,\u00f0\u009f\u00a4\u0098\u00f0\u009f\u008f\u00bc,sign of the horns: medium-light skin tone
1F918 1F3FD,\u00f0\u009f\u00a4\u0098\u00f0\u009f\u008f\u00bd,sign of the horns: medium skin tone
1F918 1F3FE,\u00f0\u009f\u00a4\u0098\u00f0\u009f\u008f\u00be,sign of the horns: medium-dark skin tone
1F918 1F3FF,\u00f0\u009f\u00a4\u0098\u00f0\u009f\u008f\u00bf,sign of the horns: dark skin tone
1F919,\u00f0\u009f\u00a4\u0099,call me hand
1F919 1F3FB,\u00f0\u009f\u00a4\u0099\u00f0\u009f\u008f\u00bb,call me hand: light skin tone
1F919 1F3FC,\u00f0\u009f\u00a4\u0099\u00f0\u009f\u008f\u00bc,call me hand: medium-light skin tone
1F919 1F3FD,\u00f0\u009f\u00a4\u0099\u00f0\u009f\u008f\u00bd,call me hand: medium skin tone
1F919 1F3FE,\u00f0\u009f\u00a4\u0099\u00f0\u009f\u008f\u00be,call me hand: medium-dark skin tone
1F919 1F3FF,\u00f0\u009f\u00a4\u0099\u00f0\u009f\u008f\u00bf,call me hand: dark skin tone
1F448,\u00f0\u009f\u0091\u0088,backhand index pointing left
1F448 1F3FB,\u00f0\u009f\u0091\u0088\u00f0\u009f\u008f\u00bb,backhand index pointing left: light skin tone
1F448 1F3FC,\u00f0\u009f\u0091\u0088\u00f0\u009f\u008f\u00bc,backhand index pointing left: medium-light skin tone
1F448 1F3FD,\u00f0\u009f\u0091\u0088\u00f0\u009f\u008f\u00bd,backhand index pointing left: medium skin tone
1F448 1F3FE,\u00f0\u009f\u0091\u0088\u00f0\u009f\u008f\u00be,backhand index pointing left: medium-dark skin tone
1F448 1F3FF,\u00f0\u009f\u0091\u0088\u00f0\u009f\u008f\u00bf,backhand index pointing left: dark skin tone
1F449,\u00f0\u009f\u0091\u0089,backhand index pointing right
1F449 1F3FB,\u00f0\u009f\u0091\u0089\u00f0\u009f\u008f\u00bb,backhand index pointing right: light skin tone
1F449 1F3FC,\u00f0\u009f\u0091\u0089\u00f0\u009f\u008f\u00bc,backhand index pointing right: medium-light skin tone
1F449 1F3FD,\u00f0\u009f\u0091\u0089\u00f0\u009f\u008f\u00bd,backhand index pointing right: medium skin tone
1F449 1F3FE,\u00f0\u009f\u0091\u0089\u00f0\u009f\u008f\u00be,backhand index pointing right: medium-dark skin tone
